,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,year,cast,crew,keywords,movieId,imdbId,tmdbId
62,62,62,62,False,,0,Comedy,,10607,tt0116126,English,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"When Ashtray (Shawn Wayans) moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog (Marlon Wayans), who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?",11.700115,http://img.omdbapi.com/?i=tt0116126&h=600&apikey=f3f2af9c,"Miramax_Films,Island_Pictures,Ivory_Way_Productions",United_States_of_America,1996-01-12,0.0,89.0,"English,Español",Released,"Finally, the movie that proves that Justice isn't always Poetic, Jungle Fever isn't always pretty, and Higher Learning can be a waste of time.",Don't Be a Menace to South Central While Drinking Your Juice in the Hood,False,6.2,192.0,1996,"Ashtray-Shawn_Wayans,Loc_Dog-Marlon_Wayans,Dashiki-Tracey_Cherelle_Jones,Preach-Chris_Spencer,Ashtray's_Mother-Vivica_A._Fox,Sister_Williams-Rappin'_Granny,Crazy_Legs-Suli_McCullough,Officer_Self_Hatred-Bernie_Mac,Rufus-Faizon_Love,Mailman-Keenen_Ivory_Wayans,Mrs._Johnson-Kim_Wayans,Loc_Dog's_Grandma-Helen_Martin,Loc_Dog's_Mom-Virginia_Watson,Toothpick-Darrel_Heath",Paris_Barclay,"date,slang,hip-hop,cousin,parody,hood,gang,social_satire,racism,gangster",,,
470,470,470,470,False,,13000000,Drama,,7984,tt0107207,English,In the Name of the Father,"A small time thief from Belfast, Gerry Conlon, is falsely implicated in the IRA bombing of a pub that kills several people while he is in London. He and his four friends are coerced by British police into confessing their guilt. Gerry's father and other relatives in London are also implicated in the crime. He spends fifteen years in prison with his father trying to prove his innocence.",7.405895,http://img.omdbapi.com/?i=tt0107207&h=600&apikey=f3f2af9c,,"United_Kingdom,Ireland",1993-12-12,65796862.0,133.0,English,Released,Falsely accused. Wrongly imprisoned. He fought for justice to clear his father's name.,In the Name of the Father,False,7.6,363.0,1993,"Gerry_Conlon-Daniel_Day-Lewis,Giuseppe_Conlon-Pete_Postlethwaite,Gareth_Peirce-Emma_Thompson,Paul_Hill-John_Lynch,Robert_Dixon-Corin_Redgrave,Carole_Richardson-Beatie_Edney,Chief_PO_Barker-John_Benfield,Benbay-Paterson_Joseph,Sarah_Conlon-Marie_Jones,Detective_Pavis-Gerard_McSorley,Ronnie_Smalls-Frank_Harper,Paddy_Armstrong-Mark_Sheppard,Joe_McAndrew-Don_Baker,Detective-Martin_Murphy,Girl_in_Pub-Alison_Crosbie,Guildford_Soldier-Philip_King,IRA_Man_1-Nye_Heron,Danny-Anthony_Brophy,Tommo-Frankie_McCafferty,Soldier-Paul_Warriner,Soldier-Julian_Walsh,Soldier-Stuart_Wolfenden,Bin_Lady-Jo_Connor,Female_Rioter-Karen_Carlisle,IRA_Woman-Fiona_Daly,Girl_in_Commune-Saffron_Burrows,Deptford_Jim-Jamie_Harris,Annie_Maguire-Britta_Smith,Hooker's_Driver-Stanley_Townsend,Detective-Tim_Perrin,Detective-Tony_Denham,Detective-Rob_Spendlove,Detective-Phil_Davis,Detective-Richard_Graham,Detective-Oliver_Maguire,Policewoman-Rachael_Dowling,Policewoman-Tina_Kellegher,Paddy_Maguire-Ronan_Wilmot,Forensic_Scientist-Alistair_Findlay,Remand_Prison_Officer-Peter_Howitt,Remand_Prison_Officer-Sean_Lawlor,Remand_Prison_Officer-Brian_de_Salvo,Remand_Prison_Officer-Luke_Hayden,Trial_Judge-Aiden_Grennell,Prosecutor-Daniel_Massey,Defense_Counsel-Bosco_Hogan,Prison_Officer-Dave_Duffy,Cockney_Prisoner-Mal_Whyte,Cockney_Prisoner-Marcus_Lynch,Prisoner_John_O'Brien-Jer_O'Leary,Prisoner-Paul_O'Grady,Prisoner-Terry_O'Neill,Home_Office_Official-Malcolm_Tierney,Priest-Peter_Sheridan,Archivist_Jenkins-Alan_Barry,Scottish_Governor-Jonathan_Ryan,Appeal_Prosecutor-Tom_Wilkinson,Appeal_Judge-Denys_Hawthorne",Jim_Sheridan,"bomb,prison,father_son_relationship,based_on_novel,1970s,biography,faith,irish,trial,rebellion,torture,terrorism,courtroom",7984.0,91083.0,14510.0
1081,1081,1081,1081,False,,1800000,Drama,,702,tt0044081,English,A Streetcar Named Desire,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,7.301719,http://img.omdbapi.com/?i=tt0044081&h=600&apikey=f3f2af9c,"Charles_K._Feldman_Group,Warner_Bros.",United_States_of_America,1951-09-18,8000000.0,125.0,English,Released,"...Blanche, who wanted so much to stay a lady...",A Streetcar Named Desire,False,7.6,291.0,1951,"Blanche_DuBois-Vivien_Leigh,Stanley_Kowalski-Marlon_Brando,Stella_Kowalski-Kim_Hunter,Harold_Mitchell-Karl_Malden,Steve-Rudy_Bond,Pablo_Gonzales-Nick_Dennis,Eunice-Peg_Hillias,A_Collector-Wright_King,A_Doctor-Richard_Garrick,The_Matron-Ann_Dere,The_Mexican_Woman-Edna_Thomas,A_Sailor-Mickey_Kuhn,Foreman_(uncredited)-Mel_Archer,Giggling_Woman_with_Eunice_(uncredited)-Marietta_Canty,Passerby_(uncredited)-John_George,Policeman_(uncredited)-Lyle_Latell,Passerby_(uncredited)-Charles_Wagenheim,Vendor_(uncredited)-Buck_Woods,Minor_Role_(uncredited)-Dahn_Ben_Amotz",Elia_Kazan,"southern_usa,rape,sister_sister_relationship,loss_of_sense_of_reality,brother-in-law,violent_husband,new_orleans,middle_aged_woman,brother-in-law_sister-in-law_relationship,light_bulb,expectant_father,off_screen_rape",702.0,62952.0,753.0
1398,1398,1398,1398,False,,0,"Drama,Comedy,Romance,Foreign",,43775,tt0109949,Spanish,Guantanamera,,0.496315,http://img.omdbapi.com/?i=tt0109949&h=600&apikey=f3f2af9c,,"Spain,Germany,Cuba",1995-01-01,0.0,105.0,Español,Released,,Guantanamera,False,8.0,3.0,1995,"Adolfo-Carlos_Cruz_,Candido-Raúl_Eguren_,Ramon-Pedro_Fernández_,Tony-Luis_Alberto_García,Mariano-Jorge_Perugorría,Georgina-Mirta_Ibarra,Yoyita-Conchita_Brando,Iku-Suset_Pérez_Malberti",Tomás_Gutiérrez_Alea,,,,
1569,1569,1569,1569,False,,0,"Comedy,Romance",,33657,tt0120151,English,A Smile Like Yours,A comedy about a couple who cannot conceive a baby,2.507368,http://img.omdbapi.com/?i=tt0120151&h=600&apikey=f3f2af9c,"Paramount_Pictures,Rysher_Entertainment",United_States_of_America,1997-08-27,0.0,98.0,English,Released,The shortest distance between two people is a certain smile.,A Smile Like Yours,False,3.2,6.0,1997,"Danny_Robertson-Greg_Kinnear,Jennifer_Robertson-Lauren_Holly,Nancy_Tellen-Joan_Cusack,Steve_Harris-Jay_Thomas,Lindsay_Hamilton-Jill_Hennessy,Richard_Halstrom-Christopher_McDonald,Dr._Felber-Donald_Moffat,Dr._Chin-France_Nuyen,Nurse_Wheeler-Marianne_Muellerleile,Holly-Sheridan_Samples,Woman_in_Window_/_Woman_on_Plane-Barbara_Larsen,Welder-Tony_Abou-Ganim,Welder-Nick_Scoggin,Karaoke_Act_2-Nicholas_Bearde,Karaoke_Act_3-June_Carryl,Karaoke_Act_3-Latrice_Sellers,Karaoke_Act_3-Lynda_Marie_Sellers,Baseball_Buddy-Paul_Ghiringhelli,Baseball_Buddy-Richard_Thorn,Pool_Hall_Guy-T._Michael_Sutton,Clinic_Video_Narrator_(voice)-Ben_Stein,Woman_at_Fertility_Clinic-Meggan_Kimberley,Pregnant_Mother-Nancy_Carlin,Surrell_Board_Member-Tony_Amatullo,Surrell_Board_Member-Brad_Rivers,Woman_Entering_Fertility_Clinic-Terri_Orth-Pallavicini,Maitre_D'-Michael_Santo,Guy_on_Plane-James_Cranna,Perky_Airline_Representative-Marle_Gaines,Taxi_Driver-Charlie_Holliday,Angry_Flight_Attendant-Helen_Swee,Woman_on_Plane-Joy_Michiel,Nancy_Tellen's_Groom-Jim_Burk,Helicopter_Pilot-Robert_'Bobby_Z'_Zajonc,Restaurant_Patron-Trenton_Brisco,Nancy_Tellen's_Friend_at_Lunch-Monique_Carmona,Restaurant_Patron-Jane_Scatena,Girl_in_Club-Angel_Sessions,Ticket_Agent_(uncredited)-Flynn_Beck,Pregnant_Woman_(uncredited)-Kristy_Connelly,Nurse_(uncredited)-Karen_Lenore_Dawson,Pool_Player_(uncredited)-Bob_Grochau,Outside_Waitress_(uncredited)-Kristy_King,Man_on_Airplane-Scott_Allen_Logan,Martha_(uncredited)-Shirley_MacLaine,Man_on_Airplane_(uncredited)-Scott_Allen_Logan,Man_on_Airplane_(uncredited)-Tod_Purvis,Welder_(uncredited)-Marciano_Ricky,San_Francisco_Giants_Fan_(uncredited)-Peggy_Sandow",Keith_Samples,,,,
2068,2068,2068,2068,False,,5000000,"Drama,Comedy",,77469,tt0119517,English,Your Friends & Neighbors,"This adult comedy follows six characters, three men and three women from a cross-section of social groups, as they play sexual power games. When an affair fires up between 2 of the married characters, it sparks a chain of consequences for all of them, including one of the wives falling for another woman!",1.564774,http://img.omdbapi.com/?i=tt0119517&h=600&apikey=f3f2af9c,"Propaganda_Films,PolyGram_Filmed_Entertainment",United_States_of_America,1998-02-04,4710749.0,100.0,English,Released,A modern immorality tale.,Your Friends & Neighbors,False,5.9,17.0,1998,"Mary-Amy_Brenneman,Barry-Aaron_Eckhart,Jerry-Ben_Stiller,Cheri-Nastassja_Kinski,Cary-Jason_Patric,Terri-Catherine_Keener",Neil_LaBute,"impotence,male_friendship,extramarital_affair,unhappiness",,,
2366,2366,2366,2366,False,,20000000,"Drama,Thriller,Mystery",,192,tt0091605,English,The Name of the Rose,"14th-century Franciscan monk William of Baskerville and his young novice arrive at a conference to find that several monks have been murdered under mysterious circumstances. To solve the crimes, William must rise up against the Church's authority and fight the shadowy conspiracy of monastery monks using only his intelligence – which is considerable.",11.469751,http://img.omdbapi.com/?i=tt0091605&h=600&apikey=f3f2af9c,"Zweites_Deutsches_Fernsehen_(ZDF),Les_Films_Ariane,RAI_Radiotelevisione_Italiana,Cristaldifilm","France,Italy,Germany",1986-09-24,77200000.0,130.0,"English,Latin",Released,"Who, in the name of God, is getting away with murder?",The Name of the Rose,False,7.2,739.0,1986,"William_of_Baskerville-Sean_Connery,Adso_of_Melk-Christian_Slater,Remigio_de_Varagine-Helmut_Qualtinger,Severinus-Elya_Baskin,The_Abbot-Michael_Lonsdale,Malachia-Volker_Prechtel,Jorge_de_Burgos-Feodor_Chaliapin_Jr.,Ubertino_da_Casale-William_Hickey,Berengar-Michael_Habeck,Venantius-Urs_Althaus,The_Girl-Valentina_Vargas,Salvatore-Ron_Perlman,Michele_da_Cesena-Leopoldo_Trieste,Adelmo-Lars_Bodin-Jorgensen,Papal_Envoy-Giordano_Falzoni,Jerome_of_Kaffa-Franco_Valobra,Hugh_of_Newcastle-Vernon_Dobtcheff,Pietro_d'Assisi-Donald_O'Brien,Cuthbert_of_Winchester-Andrew_Birkin,Bernardo_Gui-F._Murray_Abraham,Cardinal_Bertrand-Lucien_Bodard,Jean_d'Anneaux-Peter_Berling,Vescovo_di_Alborea-Pete_Lancaster,Monaco-Franco_Adducci,Monaco-Niko_Brücher,Monaco-Aristide_Caporale,Monaco-Fabio_Carfora,Monaco-Francesco_Scali,Monaco-Peter_Clös,Monaco-Mario_Diano,Monaco-Franco_Pistoni,Monk-Maria_Tedeschi,Monaco-Valerio_Isidori,Monaco-Luigi_Leoni,Monaco-Armando_Marra,monaco-Ludger_Pistor,inviato_papale-Franco_Diogene",Jean-Jacques_Annaud,"christianity,library,inquisition,monk,poison,secret_passage,labyrinth,rich,middle_ages,persecution,medieval,franciscan,burned_at_the_stake,poor,murder_mystery,theological_debate",192.0,114435.0,56088.0
2380,2380,2380,2380,False,,0,"Drama,Romance",,8129,tt0151691,English,My Name Is Joe,"Two thirtysomethings, unemployed former alcoholic Joe and community health worker Sarah, start a romantic relationship in the one of the toughest Glasgow neighbourhoods.",1.878973,http://img.omdbapi.com/?i=tt0151691&h=600&apikey=f3f2af9c,"Channel_Four_Films,Arte,Diaphana_Films,The_Glasgow_Film_Fund,Parallax_Pictures,Degeto_Film,Westdeutscher_Rundfunk_(WDR),Tornasol_Films,Alta_Films,La_Sept_Cinéma,Road_Movies_Vierte_Produktionen,Scottish_Arts_Council_Lottery_Fund","Germany,United_Kingdom,Spain,Italy,France",1998-05-15,0.0,105.0,English,Released,,My Name Is Joe,False,7.1,29.0,1998,"Joe-Peter_Mullan,Sarah-Louise_Goodall,Liam-David_McKay,McGowan-David_Hayman,Shanks-Gary_Lewis,Maggie-Lorraine_McIntosh,Mojo-Stephen_McCole",Ken_Loach,"glasgow,funeral,american_football_coach,professional_soccer_player,debt,soccer",8129.0,181810.0,51182.0
2492,2492,2492,2492,False,,2900000,"Drama,Thriller",,1902,tt0125659,Spanish,Abre los ojos,"A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured.",8.842959,http://img.omdbapi.com/?i=tt0125659&h=600&apikey=f3f2af9c,"Les_Films_Alain_Sarde,Las_Producciones_del_Escorpion,Lucky_Red,Canal+_España,Sociedad_General_de_Televisión_(Sogetel)",Spain,1997-12-19,368234.0,117.0,Español,Released,,Open Your Eyes,False,7.4,211.0,1997,"César-Eduardo_Noriega,Sofía-Penélope_Cruz,Antonio-Chete_Lera,Pelayo-Fele_Martínez,Núria-Najwa_Nimri,Duvernois-Gérard_Barray,Encargado_L.E.-Jorge_de_Juan,Commisario-Miguel_Palenzuela,Médico_Jefe-Pedro_Miguel_Martínez,Recluso_paranoico-Ion_Gabella,Guardia-Joserra_Cadiñanos,Camarero-Tristán_Ulloa",Alejandro_Amenábar,"love_triangle,madrid,love_of_one's_life,ladykiller,face_operation,fall_from_skyscraper,virtual_reality,life_extension,car_crash,best_friend,psychiatrist,psychiatric",1902.0,116141.0,32284.0
2888,2888,2888,2888,False,James_Bond_Collection,28000000,"Adventure,Action,Thriller",http://www.mgm.com/view/movie/695/For-Your-Eyes-Only/,699,tt0082398,English,For Your Eyes Only,A British spy ship has sunk and on board was a hi-tech encryption device. James Bond is sent to find the device that holds British launching instructions before the enemy Soviets get to it first.,9.765123,http://img.omdbapi.com/?i=tt0082398&h=600&apikey=f3f2af9c,"United_Artists,Eon_Productions","United_Kingdom,United_States_of_America",1981-06-23,195312802.0,127.0,"ελληνικά,English,Italiano",Released,"No one comes close to James Bond, 007.",For Your Eyes Only,False,6.3,497.0,1981,"James_Bond-Roger_Moore,Melina_Havelock-Carole_Bouquet,Milos_Columbo-Chaim_Topol,Bibi_Dahl-Lynn-Holly_Johnson,Aristotle_Kristatos-Julian_Glover,Countess_Lisl_von_Schlaf-Cassandra_Harris,Jacoba_Brink-Jill_Bennett,Emile_Leopold_Locque-Michael_Gothard,Erich_Kriegler-John_Wyman,Sir_Timothy_Havelock-Jack_Hedley,Miss_Moneypenny-Lois_Maxwell,Q-Desmond_Llewelyn,Sir_Frederick_Gray-Geoffrey_Keen,General_Anatol_Gogol-Walter_Gotell,Tanner-James_Villiers,Ferrara-John_Moreno,Claus-Charles_Dance,Karageorge-Paul_Angelis,Iona_Havelock-Toby_Robins,Apostis-Jack_Klaff,Santos-Alkis_Kritikos,Nikos-Stag_Theodore,Hector_Gonzales-Stefan_Kalipha,First_Sea_Lord-Graham_Crowden,Vice_Admiral-Noel_Johnson,McGregor-William_Hoyland,Bunky-Paul_Brooke,Vicar-Fred_Bryant,Girl_in_Flower_Shop-Robbin_Young,Mantis_Man-Graham_Hawkes,Denis_Thatcher-John_Wells,The_Prime_Minister-Janet_Brown,Sharon,_Q's_Assistant_(uncredited)-Maureen_Bennett,Guard_at_St._Cyril_(uncredited)-Andy_Bradford,Smithers-Jeremy_Bulloch,González_Henchman_(uncredited)-Clive_Curtis,Girl_at_Pool_(uncredited)-Lalla_Dean,Girl_at_Pool_(uncredited)-Evelyn_Drogue,Herself_-_Singer_in_Title_Sequence_(uncredited)-Sheena_Easton,Rublevich-Eva_Rueber-Staier",John_Glen,"london_england,submarine,england,sea,assassin,mountain,undercover,olympic_games,drug_traffic,secret_mission,secret_intelligence_service,kgb,coral_reef,ski_jump,parrot,cryptographic_device,gang_of_smugglers,figure_skating,motorcycle,monastery,british_secret_service,skiing",699.0,103095.0,277270.0
