,Unnamed: 0,adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,year,cast,crew,keywords,movieId,imdbId,tmdbId
22,22,False,,50000000,"Action,Adventure,Crime,Thriller",,9691,tt0112401,English,Assassins,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",11.065939,/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg,"Silver_Pictures,Canal+,Warner_Bros.,Dino_De_Laurentiis_Company,Donner/Shuler-Donner_Productions,Evansgideon/Lazar","France,United_States_of_America",1995-10-06,30303072.0,132.0,"English,Español,Nederlands",Released,"In the shadows of life, In the business of death, One man found a reason to live...",Assassins,False,6.0,394.0,1995,"Sylvester Stallone,Antonio Banderas,Julianne Moore,Anatoli Davydov,Muse Watson,Steve Kahan,Kelly Rowan,Reed Diamond,Kai Wulff,Kerry Skalsky,James Douglas Haskins,Stephen Liska,John Harms,Edward J. Rosen,Christina Orchid,Choco Orta,Germán Legarreta",Richard Donner,"competition,assassination,cia,bank,cat,mexican standoff,seattle,hitman,mission of murder,hidden camera,rivalry,rescue,shootout,police chase,sniper rifle,silencer,double cross,caribbean,detroit michigan",,,
147,147,False,,52000000,Drama,,568,tt0112384,English,Apollo 13,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1971, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.",18.761467,/6JQ9z3V9x4vlU2GSZx2yNO0PvuX.jpg,"Imagine_Entertainment,Universal_Pictures",United_States_of_America,1995-06-30,355237933.0,140.0,English,Released,"Houston, we have a problem.",Apollo 13,False,7.3,1637.0,1995,"Tom Hanks,Bill Paxton,Kevin Bacon,Gary Sinise,Ed Harris,Kathleen Quinlan,Mary Kate Schellhardt,Emily Ann Lloyd,Miko Hughes,Max Elliott Slade,Jean Speegle Howard,Tracy Reiner,David Andrews,Michele Little,Chris Ellis,Joe Spano,Xander Berkeley,Roger Corman,Andrew Lipschultz,Mark Wheeler,Endre Hules,Clint Howard,Christian Clemenson,Brett Cullen,Thom Barry,Gabriel Jarret,Jim Lovell",Ron Howard,"moon,florida,nasa,spaceman,race against time,houston,based on true story,space,rescue,survival,disaster,explosion,astronaut,imax,saturn v rocket,courage,hypothermia,apollo program,cape kennedy,lunar mission,spacecraft accident",568.0,106408.0,14587.0
256,256,False,Star Wars Collection,11000000,"Adventure,Action,Science_Fiction",http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,11,tt0076759,English,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,42.149697,/btTdmkgIvOi0FFip1sPuZI2oQG6.jpg,"Lucasfilm,Twentieth_Century_Fox_Film_Corporation",United_States_of_America,1977-05-25,775398007.0,121.0,English,Released,"A long time ago in a galaxy far, far away...",Star Wars,False,8.1,6778.0,1977,"Mark Hamill,Harrison Ford,Carrie Fisher,Peter Cushing,Alec Guinness,Anthony Daniels,Kenny Baker,Peter Mayhew,David Prowse,James Earl Jones,Phil Brown,Shelagh Fraser,Jack Purvis,Eddie Byrne,Denis Lawson,Garrick Hagon,Don Henderson,Leslie Schofield,Richard LeParmentier,Michael Leader,Alex McCrindle,Drewe Henley,Jack Klaff,William Hootkins,Angus MacInnes,Jeremy Sinden,Graham Ashley,David Ankrum,Mark Austin,Scott Beach,Lightning Bear,Jon Berg,Doug Beswick,Paul Blake,Janice Burchette,Ted Burnett,John Chapman,Gilda Cohen,Tim Condren,Barry Copping,Alfie Curtis,Robert Davies,Maria De Aragon,Robert A. Denham,Frazer Diamond,Peter Diamond,Warwick Diamond,Sadie Eden,Kim Falkinburg,Harry Fielder,Ted Gagliano,Salo Gardner,Steve Gawley,Barry Gnome,Rusty Goffe,Isaac Grand,Nelson Hall,Reg Harding,Alan Harris,Frank Henson,Christine Hewett,Arthur Howell,Tommy Ilsley,Joe Johnston,Annette Jones,Linda Jones,Joe Kaye,Colin Michael Kitchens,Melissa Kurtz,Tiffany L. Kurtz,Al Lampert,Anthony Lang,Laine Liska,Derek Lyons,Mahjoub,Alf Mangan,Rick McCallum,Grant McCune,Geoffrey Moon,Mandy Morton,Lorne Peterson,Marcus Powell,Shane Rimmer,Pam Rose,George Roubicek,Erica Simmons,Angela Staines,George Stock,Roy Straite,Peter Sturgeon,Peter Sumner,John Sylla,Tom Sylla,Malcolm Tierney,Phil Tippett,Burnell Tucker,Morgan Upton,Jerry Walter,Hal Wamsley,Larry Ward,Diana Sadley Way,Harold Weed,Bill Weston,Steve 'Spaz' Williams,Fred Wood,Colin Higgins",George Lucas,"android,galaxy,hermit,death star,lightsaber,jedi,rescue mission,empire,rebellion,planet,smuggler,the force,space opera,galactic war,stormtrooper,totalitarianism",11.0,112346.0,9087.0
344,344,False,The Jack Ryan Collection,62000000,"Action,Drama,Thriller",,9331,tt0109444,English,Clear and Present Danger,CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.,7.513245,/avRDucB3FLf1Xz5532hbOYd1giX.jpg,"Paramount_Pictures,Mace_Neufeld_Productions",United_States_of_America,1994-08-03,215887717.0,141.0,English,Released,The war of drugs would lead him to the war of power.,Clear and Present Danger,False,6.4,390.0,1994,"Harrison Ford,Willem Dafoe,Anne Archer,Joaquim de Almeida,Henry Czerny,Harris Yulin,Donald Moffat,Miguel Sandoval,Benjamin Bratt,Raymond Cruz,Dean Jones,Thora Birch,Ann Magnuson,Hope Lange,Tom Tammi,James Earl Jones,Ted Raimi,Greg Germann",Phillip Noyce,"assassination,spy,ambush,cia,helicopter,based on novel,usa president,sniper,fbi,colombia,drug traffic,bomber,mission of murder,mercenary,insurgence,coast guard,spying,war,car bomb,drug cartel,conspiracy,shootout,infantry,violence,jack ryan,political cover-up",,,
534,534,False,,21000000,"Comedy,Drama,Romance",,858,tt0108160,English,Sleepless in Seattle,A young boy who tries to set his dad up on a date after the death of his mother. He calls into a radio station to talk about his dad’s loneliness which soon leads the dad into meeting a Journalist Annie who flies to Seattle to write a story about the boy and his dad. Yet Annie ends up with more than just a story in this popular romantic comedy.,10.234919,/afkYP15OeUOD0tFEmj6VvejuOcz.jpg,TriStar_Pictures,United_States_of_America,1993-06-24,227799884.0,105.0,English,Released,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?",Sleepless in Seattle,False,6.5,630.0,1993,"Tom Hanks,Meg Ryan,Bill Pullman,Ross Malinger,Rosie O'Donnell,Gaby Hoffmann,Victor Garber,Rita Wilson,Barbara Garrick,Rob Reiner,Carey Lowell,David Hyde Pierce,Dana Ivey,Tom Riis Farrell,Le Clanché du Rand,Kevin O'Morrison,Valerie Wright,Frances Conroy,Tom Tammi,Calvin Trillin,Caroline Aaron,Linda Wallem,Victor Morris",Nora Ephron,"father son relationship,lovesickness,journalist,loss of mother,loss of lover,radio station,christmas party,love of one's life,radio,seattle,baltimore,fiancé,radio presenter,airplane,radio transmission,observation deck,friendship,unsociability,woman director",858.0,68646.0,238.0
637,637,False,,46000000,"Drama,Thriller,Mystery,War",,10684,tt0115956,English,Courage Under Fire,"A US Army officer had made a ""friendly fire"" mistake that was covered up and he was reassigned to a desk job. Later he was tasked to investigate a female chopper commander's worthiness to be awarded the Medal of Honor posthumously. At first all seemed in order then he begins to notice inconsistencies between the testimonies of the witnesses....",11.595316,/lPAzGRgc2afaGsYwFX7Iez8gzmq.jpg,"Twentieth_Century_Fox_Film_Corporation,Davis_Entertainment",United_States_of_America,1996-07-04,100860818.0,117.0,English,Released,A medal for honor. A search for justice. A battle for truth.,Courage Under Fire,False,6.2,240.0,1996,"Denzel Washington,Meg Ryan,Lou Diamond Phillips,Matt Damon,Michael Moriarty,Michole Briana White,Bronson Pinchot,Amy Hathaway,Diane Baker,Seth Gilliam,Regina Taylor,Zeljko Ivanek,Scott Glenn,Tim Guinee,Tim Ransom,Sean Astin,Ned Vaughn,Manny Pérez,David McSwain,Korey Coleman",Edward Zwick,"gulf war,pilot,u.s. army,praise,rescue mission,dead soldier,tank,medal",,,
638,638,False,Mission: Impossible Collection,80000000,"Adventure,Action,Thriller",http://www.missionimpossible.com/,954,tt0117060,English,Mission: Impossible,"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the No. 1 suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score.",15.793477,/vmj2PzTLC6xJvshpq8SlaYE3gbd.jpg,"Paramount_Pictures,Cruise/Wagner_Productions",United_States_of_America,1996-05-22,457696359.0,110.0,"English,Français,Český",Released,Expect the Impossible.,Mission: Impossible,False,6.7,2677.0,1996,"Tom Cruise,Jon Voight,Emmanuelle Béart,Henry Czerny,Jean Reno,Ving Rhames,Kristin Scott Thomas,Vanessa Redgrave,Dale Dye,Marcel Iureș,Ion Caramitru,Ingeborga Dapkunaite,Valentina Yakunina,Marek Vašut,Nathan Osgood,Emilio Estevez,Michael Rogers,Keith Campbell,John McLaughlin,Karel Dobrý,Andreas Wisniewski,Ricco Ross,Mark Houghton,Annabel Mullion,Garrick Hagon,Olegar Fedoro,David Schneider,Helen Lindsay,John Knoll,Rolf Saxon",Brian De Palma,"paris,london england,spy,cia,terrorist,secret identity,undercover,arms deal,headquarter,secret base,secret mission,prague,embassy,secret agent,tgv,computer,mission,based on tv series,espionage,agent",954.0,31679.0,3083.0
894,894,False,,2238813,"Comedy,Drama,Romance",,6620,tt0047437,English,Sabrina,"Linus and David Larrabee are the two sons of a very wealthy family. Linus is all work -- busily running the family corporate empire, he has no time for a wife and family. David is all play -- technically he is employed by the family business, but never shows up for work, spends all his time entertaining, and has been married and divorced three times. Meanwhile, Sabrina Fairchild is the young, shy, and awkward daughter of the household chauffeur, who has been infatuated with David all her life, but David hardly notices her -- ""doesn't even know I exist"" -- until she goes away to Paris for two years, and returns an elegant, sophisticated, beautiful woman. Suddenly, she finds that she has captured David's attention, but just as she does so, she finds herself falling in love with Linus, and she finds that Linus is also falling in love with her.",7.359741,/7ITDmatHa2yf5UTzjwaKAvf3Xr6.jpg,Paramount_Pictures,United_States_of_America,1954-09-28,10000000.0,113.0,"English,Italiano",Released,...the chauffeur's daughter who learned her stuff in Paris,Sabrina,False,7.4,284.0,1954,"Humphrey Bogart,Audrey Hepburn,William Holden,Walter Hampden,John Williams,Martha Hyer,Joan Vohs,Marcel Dalio,Marcel Hillaire,Nella Walker,Francis X. Bushman,Ellen Corby,Marjorie Bennett,Emory Parnell,Nancy Kulp,Paul Harvey,Kay Riehl,Raymond Bailey,Ralph Brooks,Colin Campbell,Harvey B. Dunn,Fritz Ford,Otto Forrest,Chuck Hamilton,Rand Harper,Sam Harris,Kay E. Kuter,Bill Neff,Gregory Ratoff,Marion Ross,Emmett Vogan,Ralph Moratz,Lovyss Bradley,Jean Ransome,James Carlisle,Fred Rapport,Herschel Graham",Billy Wilder,"brother brother relationship,chauffeur,champagne,playboy,love,teenage crush,millionaire,high society,manhattan, new york city,impossible love,family disapproval",6620.0,305206.0,2771.0
903,903,False,The Space Odyssey Series,10500000,"Science_Fiction,Mystery,Adventure",,62,tt0062622,English,2001: A Space Odyssey,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",22.494622,/90T7b2LIrL07ndYQBmSm09yqVEH.jpg,"Stanley_Kubrick_Productions,Metro-Goldwyn-Mayer_(MGM)","United_States_of_America,United_Kingdom",1968-04-10,68700000.0,149.0,"English,Pусский",Released,An epic drama of adventure and exploration,2001: A Space Odyssey,False,7.9,3075.0,1968,"Keir Dullea,Gary Lockwood,William Sylvester,Douglas Rain,Daniel Richter,Leonard Rossiter,Margaret Tyzack,Robert Beatty,Sean Sullivan,Frank Miller,Ed Bishop,Edwina Carroll,Penny Brahms,Heather Downham,Maggie d'Abo,Chela Matthison,Judy Kiern,Alan Gifford,Ann Gillis,Vivian Kubrick,Kenneth Kendall,Bill Weston,Glenn Beck,Mike Lovell,John Ashley,Jimmy Bell,David Charkham,Simon Davis,Jonathan Daw,Péter Delmár,Terry Duggan,David Fleetwood,Danny Grover,Brian Hawley,David Hines,Tony Jackson,John Jordan,Scott MacKee,Laurence Marchant,Darryl Paes,Joe Refalo,Andy Wallace,Bob Wilyman,Richard Woods,Martin Amor,S. Newton Anderson,Sheraton Blount,Ann Bormann,Julie Croft,Penny Francis,Marcella Markham,Irena Marr,Krystyna Marr,Kim Neil,Jane Pearl,Penny Pearl,Kevin Scott,John Swindells,Burnell Tucker,John Clifford",Stanley Kubrick,"moon,jupiter,artificial intelligence,man vs machine,technology,super computer,human being,space travel,space mission,moon base,astronaut,evolution,monolith,space station",62.0,113862.0,2054.0
948,948,False,,1300000,"Adventure,War,Romance",,488,tt0043265,English,The African Queen,"At the start of the first World War, in the middle of Africa’s nowhere, a gin soaked riverboat captain is persuaded by a strong-willed missionary to go down river and face-off a German warship.",6.636872,/mw1O0JxtDgXt2FHZnUn8w0wrjF1.jpg,"United_Artists,Independent_Film_Distributors,Romulus_Films","United_Kingdom,United_States_of_America",1951-12-03,10750000.0,105.0,"English,Deutsch,Kiswahili",Released,The greatest adventure a man ever lived...with a woman!,The African Queen,False,7.4,232.0,1951,"Humphrey Bogart,Katharine Hepburn,Robert Morley,Peter Bull,Theodore Bikel,Walter Gotell,Peter Swanwick,Richard Marner",John Huston,"africa,missionary,river,desperation,boat,patriotism,world war i,hippopotamus,giraffe,methodist church,moqukito,boat wedding,leech,gin,canadian,tanzania,kongo,animal species,hope,faith",488.0,107468.0,1413.0
